seconds,coverage,time
1,.8571428571428571,1398
2,.8571428571428571,1414
3,.8571428571428571,1465
4,1.0000000000000000,1498
5,1.0000000000000000,1625
6,1.0000000000000000,1516
7,1.0000000000000000,1357
8,1.0000000000000000,1409
9,1.0000000000000000,1432
10,1.0000000000000000,1433
11,1.0000000000000000,1441
12,1.0000000000000000,1509
13,1.0000000000000000,1491
14,1.0000000000000000,1528
15,.8571428571428571,1370
16,1.0000000000000000,1359
17,1.0000000000000000,1444
18,1.0000000000000000,1509
19,1.0000000000000000,1356
20,1.0000000000000000,1405
21,1.0000000000000000,1402
22,1.0000000000000000,1337
23,1.0000000000000000,1406
24,1.0000000000000000,1359
25,1.0000000000000000,1379
26,1.0000000000000000,1417
27,1.0000000000000000,1385
28,1.0000000000000000,1571
29,1.0000000000000000,1455
30,1.0000000000000000,1324
